loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_mean_iou,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0307,0.6072661876678467,4.9975e-05,0.05,50,,,,,,,,,,,,,
0.0196,0.6346173286437988,4.995e-05,0.1,100,,,,,,,,,,,,,
0.016,0.49167510867118835,4.992500000000001e-05,0.15,150,,,,,,,,,,,,,
0.0137,0.3509403169155121,4.99e-05,0.2,200,,,,,,,,,,,,,
0.0121,0.24372930824756622,4.9875000000000006e-05,0.25,250,,,,,,,,,,,,,
0.0109,0.24577711522579193,4.9850000000000006e-05,0.3,300,,,,,,,,,,,,,
0.0099,0.17366452515125275,4.9825000000000005e-05,0.35,350,,,,,,,,,,,,,
0.0093,0.10982891172170639,4.9800000000000004e-05,0.4,400,,,,,,,,,,,,,
0.0087,0.17554885149002075,4.9775000000000004e-05,0.45,450,,,,,,,,,,,,,
0.0079,0.11076577007770538,4.975e-05,0.5,500,,,,,,,,,,,,,
0.0083,0.16051073372364044,4.9725e-05,0.55,550,,,,,,,,,,,,,
0.0075,0.11184509843587875,4.97e-05,0.6,600,,,,,,,,,,,,,
0.0069,0.12163342535495758,4.967500000000001e-05,0.65,650,,,,,,,,,,,,,
0.0071,0.07464884966611862,4.965e-05,0.7,700,,,,,,,,,,,,,
0.0065,0.10945943742990494,4.962500000000001e-05,0.75,750,,,,,,,,,,,,,
0.0063,0.08007805794477463,4.96e-05,0.8,800,,,,,,,,,,,,,
0.0062,0.15759873390197754,4.9575000000000006e-05,0.85,850,,,,,,,,,,,,,
0.0058,0.16632412374019623,4.9550000000000005e-05,0.9,900,,,,,,,,,,,,,
0.0057,0.060843002051115036,4.9525000000000004e-05,0.95,950,,,,,,,,,,,,,
0.0059,0.09555284678936005,4.9500000000000004e-05,1.0,1000,,,,,,,,,,,,,
,,,1.0,1000,0.004171052947640419,0.7325346823254886,0.30918065103042663,0.3011152416356491,0.31769001893422805,19.9494,50.127,12.532,,,,,
0.0056,0.12505371868610382,4.9475e-05,1.05,1050,,,,,,,,,,,,,
0.0056,0.14027684926986694,4.945e-05,1.1,1100,,,,,,,,,,,,,
0.0053,0.04818899184465408,4.9425e-05,1.15,1150,,,,,,,,,,,,,
0.0054,0.07706032693386078,4.94e-05,1.2,1200,,,,,,,,,,,,,
0.005,0.07133658230304718,4.937500000000001e-05,1.25,1250,,,,,,,,,,,,,
0.0053,0.11490587145090103,4.935e-05,1.3,1300,,,,,,,,,,,,,
0.0052,0.08701591938734055,4.9325000000000006e-05,1.35,1350,,,,,,,,,,,,,
0.0047,0.08165523409843445,4.93e-05,1.4,1400,,,,,,,,,,,,,
0.0049,0.10824891924858093,4.9275000000000005e-05,1.45,1450,,,,,,,,,,,,,
0.0052,0.09812429547309875,4.9250000000000004e-05,1.5,1500,,,,,,,,,,,,,
0.0047,0.06584513932466507,4.9225000000000004e-05,1.55,1550,,,,,,,,,,,,,
0.0048,0.050117604434490204,4.92e-05,1.6,1600,,,,,,,,,,,,,
0.0045,0.09468996524810791,4.9175e-05,1.65,1650,,,,,,,,,,,,,
0.0044,0.04035024717450142,4.915e-05,1.7,1700,,,,,,,,,,,,,
0.0046,0.042959269136190414,4.9125e-05,1.75,1750,,,,,,,,,,,,,
0.004,0.06806822121143341,4.91e-05,1.8,1800,,,,,,,,,,,,,
0.0042,0.05298401415348053,4.907500000000001e-05,1.85,1850,,,,,,,,,,,,,
0.0042,0.07328721880912781,4.905e-05,1.9,1900,,,,,,,,,,,,,
0.0041,0.02921808697283268,4.9025000000000006e-05,1.95,1950,,,,,,,,,,,,,
0.004,0.07995299994945526,4.9e-05,2.0,2000,,,,,,,,,,,,,
,,,2.0,2000,0.0031415873672813177,0.7580107614045777,0.42844552861661506,0.4295229033572883,0.4273735461184166,19.5227,51.223,12.806,,,,,
0.0042,0.054356906563043594,4.8975000000000005e-05,2.05,2050,,,,,,,,,,,,,
0.004,0.048715099692344666,4.8950000000000004e-05,2.1,2100,,,,,,,,,,,,,
0.0038,0.06999358534812927,4.8925e-05,2.15,2150,,,,,,,,,,,,,
0.0037,0.10958528518676758,4.89e-05,2.2,2200,,,,,,,,,,,,,
0.0041,0.06236819550395012,4.8875e-05,2.25,2250,,,,,,,,,,,,,
0.0038,0.026779161766171455,4.885e-05,2.3,2300,,,,,,,,,,,,,
0.0035,0.06170191988348961,4.8825e-05,2.35,2350,,,,,,,,,,,,,
0.0037,0.09191713482141495,4.88e-05,2.4,2400,,,,,,,,,,,,,
0.0039,0.09307941049337387,4.8775000000000007e-05,2.45,2450,,,,,,,,,,,,,
0.0039,0.05909218266606331,4.875e-05,2.5,2500,,,,,,,,,,,,,
0.0035,0.045333072543144226,4.8725000000000005e-05,2.55,2550,,,,,,,,,,,,,
0.0031,0.09048599004745483,4.87e-05,2.6,2600,,,,,,,,,,,,,
